scopus_id,title,creator,keywords,publication_name,volume,issue,pages,doi,abstract,cited_by_count,date,type,funding_source
85095430223,Response Regarding: “How to Manage Head Injury With COVID-19 Pneumonitis on Mars? Rare but High Impact Complex Medical Emergencies in Space”,Robertson J.,NA,Journal of Surgical Research,258,NA,460,10.1016/j.jss.2020.09.001,NA,0,2021-02-01,Letter,NA
85104877992,Structural Insight of Persian Bathhouse Architecture for Designing Greenhouses on Mars,Sumini V.,NA,"Earth and Space 2021: Space Exploration, Utilization, Engineering, and Construction in Extreme Environments - Selected Papers from the 17th Biennial International Conference on Engineering, Science, Construction, and Operations in Challenging Environments",NA,NA,1297-1309,10.1061/9780784483374.120,"The Lut Desert of Iran looks as one of the regions on Earth more similar to the Mars landscape. Close to that area, there are vernacular adobe architectures dating back to the ancient Silk Road, two thousand years old, which were built by primitive construction methods but with complex geometry. Among all city structures, bathhouses represent the unique example of an introverted architecture that has a profound commonality with greenhouse closed-systems. Bathhouse not only isolated active interior life from the outer world but also insulated the temperature and humidity from the extreme environment of the Lut Desert. It usually also had a closed clean water system, open-air water flow circulation, and water reservoir and safe power access, all features that should be present in a greenhouse design concept for Mars. The main architectural feature of the Persian bathhouse architecture is the presence of one or more domes as a roof system. These masonry domes are characterized by ease of construction and use of local materials, absolutely consistent with the in-situ resources utilization requirements for building on Mars. Indeed, this research focuses on exploring the feasibility of using the bathhouse structural system for designing a regolith dome structure - a shelter to provide micrometeoroid and radiation shielding for a greenhouse infrastructure on Mars. The analysis has been developed through an innovative computational design model that begins with embedding the geometrical information given by the Persian domes. Consequently, it optimizes each structural element to withstand the harsh Martian environment, minimizing the cross-section while considering the minimum thickness required to provide the micro-meteoroid and radiation protection. The finite element analysis considered different inner pressurization loads from 27.6 kPa (4psi), the airlock pressure in the pre-breathing phase, to 101.3 kPa (14.7 psi) that is currently used for the ISS pressure to obtain an earth-like environment. This research selects five Persian arches for analyzing their structural performance. The domes originated by each different arch structures are highly representative of this Persian architecture typology. Among all various dome construction methods, the Karbandi (stellar vault or ribbed dome) style dating back to the third century has been chosen, as it is the most common one among various bathhouses. Converting arches to the ribbed vault morphs the shape of the dome pattern. The span of 20 m is considered as one of the input parameters. The results of the analyzed Karbandi domes have been compared with the optimum hemispherical geometry highlighting their high structural performance after the optimization and a geometric pattern that might lead to a more innovative architecture on Mars.",0,2021-01-01,Conference Paper,National Aeronautics and Space Administration
85102289339,High Energies and Radiation Effects,Reames D.V.,NA,Lecture Notes in Physics,978,NA,135-149,10.1007/978-3-030-66402-2_6,"In this chapter we characterize the high-energy spectra of protons that can penetrate shielding and determine the radiation dose to humans and equipment in space. High-energy spectral breaks or “knees”, seen in all large SEP events, determine the contribution of highly penetrating protons. The streaming limit, discussed earlier, places an upper bound on particle fluences early in events and the radial variation of intensities is important for near-solar and deep-space missions. The streaming limit is a strong function of radial distance from the Sun. We also consider requirements for a radiation storm shelter for deep space, a mission to Mars, suitability of exoplanets for life, and radiation-induced chemistry of the upper atmosphere of Earth.",0,2021-01-01,Chapter,NA
85101844187,Space Nomad: An easy-to-build Mars habitat design,Bihari G.,Colony | Crewed mission | Habitat | Inflatable | Mars | Martian,JBIS - Journal of the British Interplanetary Society,74,1,6-20,NA,"Due to the recently growing interest regarding the future colonization of Mars, an increasing number of plans have appeared in the last few years to fulfil the need for a safe habitat for the first Martian colonists. Numerous fanciful design ideas have been presented at competitions held by NASA and other space research organizations. However, our thorough investigation reveals that most designs suffer from shortcomings, and are either difficult to realize or do not meet the safety requirements of the Martian missions, for example, shielding against radiation or impacting particles, protection against decompression and freezing temperatures. After analysing the problems of safety and feasibility, we tried to design a habitat that is realizable - taking into account the cargo capacity of the spacecraft of the near future and the use of materials locally available on Mars. A further requirement for our design was that the pioneers' habitat should not be a tiny, prison-like lair, but a spacious, liveable and safe living area, which is suitable for continuous habitation. The frame of our design is an inflatable structure, which is supplied with the proper shielding and insulation by locally available materials. The special ventilation system and the large greenhouses of this habitat provide the colonists with food, oxygen and liveable space - and perhaps even rocket propellant materials.",0,2021-01-01,Article,NA
85100548291,End-Effector Contact and Force Detection for Miniature Autonomous Robots Performing Lunar and Expeditionary Surgery,Psota E.,NA,Military Medicine,186,NA,281-287,10.1093/milmed/usaa443,"Introduction: The U.S. Space Force was stood up on December 20, 2019 as an independent branch under the Air Force consisting of about 16,000 active duty and civilian personnel focused singularly on space. In addition to the Space Force, the plans by NASA and private industry for exploration-class long-duration missions to the moon, near-earth asteroids, and Mars makes semi-independent medical capability in space a priority. Current practice for space-based medicine is limited and relies on a ""life-raft""scenario for emergencies. Discussions by working groups on military space-based medicine include placing a Role III equivalent facility in a lunar surface station. Surgical capability is a key requirement for that facility. Materials and Methods: To prepare for the eventuality of surgery in space, it is necessary to develop low-mass, low power, mini-surgical robots, which could serve as a celestial replacement for existing terrestrial robots. The current study focused on developing semi-autonomous capability in surgical robotics, specifically related to task automation. Two categories for end-effector tissue interaction were developed: Visual feedback from the robot to detect tissue contact, and motor current waveform measurements to detect contact force. Results: Using a pixel-to-pixel deep neural network to train, we were able to achieve an accuracy of nearly 90% for contact/no-contact detection. Large torques were predicted well by a trained long short-term memory recursive network, but the technique did not predict small torques well. Conclusion: Surgical capability on long-duration missions will require human/machine teaming with semi-autonomous surgical robots. Our existing small, lightweight, low-power miniature robots perform multiple essential tasks in one design including hemostasis, fluid management, suturing for traumatic wounds, and are fully insertable for internal surgical procedures. To prepare for the inevitable eventuality of an emergency surgery in space, it is essential that automated surgical robot capabilities be developed.",0,2021-01-01,Article,NA
85090464851,Buildup with Bremsstrahlung in the Martian Atmosphere,Gulabrao P.P.,"Buildup | carbon dioxide | galactic cosmic rays, MCNP | Martian atmosphere",Nuclear Science and Engineering,195,2,161-172,10.1080/00295639.2020.1794455,"Photon buildup is a function of energy, medium, and geometry and therefore must be specifically calculated for the case of interest. The Martian atmosphere, mostly comprising carbon dioxide, is becoming more relevant to radiation researchers and therefore warrants the study of this gas mixture’s buildup properties for ionizing photon flux resulting from the secondary effects of galactic cosmic rays and solar flares. Specifically, this work uses the MCNP6 code to develop energy absorption buildup factors in finite slab models for energies ranging from 40 keV to 15 MeV with Martian regolith as the backscattering medium. The Martian carbon dioxide cycle is accounted for by determining maximum and minimum mean densities as a function of orbital position. An isotropic point source model for the atmosphere is also developed using the geometric progression fitting function. Buildup is bounded to a factor of approximately 23 at 100 keV for normally incident photons at the top of the atmosphere. For conservatism, the design problem neglects coherent scattering but assumes bremsstrahlung effects and uses Klein-Nishina free-electron cross sections for Compton scattering.",0,2021-01-01,Article,University of Texas at Austin
85088267286,Cognitive Task Analysis and Knowledge Elicitation to Inform Medical Workstation Requirements for Long Duration Space Missions,Daiker R.,Cognitive task analysis | Interplanetary missions | Knowledge elicitation | Long duration missions | Medical workstation | Moon to mars | Requirements,Advances in Intelligent Systems and Computing,1201 AISC,NA,164-171,10.1007/978-3-030-51041-1_23,"The National Aeronautics and Space Administration (NASA) is conducting an investigation into the design of a medical workstation for an upcoming mission to Mars and other long duration crewed spaceflight missions. To help ensure the safety and well-being of astronauts on long duration exploration missions, this medical workstation represents a crucial capability for the overall success of future interplanetary missions. This research may benefit from another analogous NASA effort where researchers are currently generating requirements for a predictive space radiation risk model that will be used to plan crewed spaceflight missions beyond Low Earth Orbit (LEO). This activity includes a series of knowledge elicitation activities and the completion of a Cognitive Task Analysis (CTA) to inform the generation of design requirements. This paper is focused on how these methods and techniques can be adapted to the design of a medical workstation for the mission to Mars.",0,2021-01-01,Conference Paper,NA
85091382246,A hotel room on Mars: quarantine and the psychological view from the virtual front line,Modini M.,coronavirus | COVID-19 | isolation | mental illness | quarantine,Australasian Psychiatry,28,6,624-626,10.1177/1039856220956465,"Objective: Because of the COVID-19 pandemic, the implementation of quarantine for returning travellers and the effect this has on people’s mental health has become a topical issue. This article briefly describes the historical context of quarantine, research around its impact on people’s well-being, and the experiences of a clinical psychologist providing support to people in quarantine. Conclusions: Mental health professionals are in a unique position to assist people in quarantine, both in terms of counselling and ongoing research.",0,2020-12-01,Article,NA
85088829479,Health care for deep space explorers,Thirsk R.B.,NA,Annals of the ICRP,49,1_suppl,182-184,10.1177/0146645320935288,"(Figure presented.) There is a growing desire amongst space-faring nations to venture beyond the Van Allen radiation belts to a variety of intriguing locations in our inner solar system. Mars is the ultimate destination. In two decades, we hope to vicariously share in the adventure of an intrepid crew of international astronauts on the first voyage to the red planet. This will be a daunting mission with an operational profile unlike anything astronauts have flown before. A flight to Mars will be a 50-million-kilometre journey. Interplanetary distances are so great that voice and data communications between mission control on Earth and a base on Mars will feature latencies up to 20 min. Consequently, the ground support team will not have real-time control of the systems aboard the transit spacecraft nor the surface habitat. As cargo resupply from Earth will be impossible, the onboard inventory of equipment and supplies must be planned strategically in advance. Furthermore, the size, amount, and function of onboard equipment will be constrained by limited volume, mass, and power allowances. With less oversight from the ground, all vehicle systems will need to be reliable and robust. They must function autonomously. Astronauts will rely on their own abilities and onboard resources to deal with urgent situations that will inevitably arise. The deep space environment is hazardous. Zero- and reduced-gravity effects will trigger deconditioning of the cardiovascular, musculoskeletal, and other physiological systems. While living for 2.5 years in extreme isolation, Mars crews will experience psychological stressors such as loss of privacy, reduced comforts of living, and distant relationships with family members and friends. Beyond Earth’s protective magnetosphere, the fluence of ionising radiation will be higher. Longer exposure of astronauts to galactic cosmic radiation could result in the formation of cataracts, impaired wound healing, and degenerative tissue diseases. Genetic mutations and the onset of cancer later in life are also possible. Acute radiation sickness and even death could ensue from a large and unpredictable solar particle event. There are many technological barriers that prevent us from carrying out a mission to Mars today. Before launching the first crew, we will need to develop processes for in-situ resource utilisation. Rather than bringing along large quantities of oxygen, water, and propellant from Earth, future astronauts will need to produce some of these consumables from local space-based resources. Ion propulsion systems will be needed to reduce travel times to interplanetary destinations, and we will need systems to land larger payloads (up to 40 tonnes of equipment and supplies for a human mission) on planetary surfaces. These and other innovations will be needed before humans venture into deep space. However, it is the delivery of health care that is regarded as one of the most important obstacles to be overcome. Physicians, biomedical engineers, human factors specialists, and radiation experts are re-thinking operational concepts of health care, crew performance, and life support. Traditional oversight of astronaut health by ground-based medical teams will no longer be possible, particularly in urgent situations. Aborting a deep space mission to medically evacuate an ill or injured crew member to Earth will not be an option. Future crews must have all of the capability and responsibility to monitor and manage their own health. Onboard medical resources must include imaging, surgery, and emergency care, as well as laboratory analysis of blood, urine, and other biospecimens. At least one member of the crew should be a broadly trained physician with experience in remote medicine. She/he will be supported by an onboard health informatics network that is artificial intelligence enabled to assist with monitoring, diagnosis, and treatment. In other words, health care in deep space will become more autonomous, intelligent, and point of care. The International Commission on Radiological Protection (ICRP) has dedicated a day of its 5th International Symposium in Adelaide to the theme of Mars exploration. ICRP has brought global experts together today to consider the pressing issues of radiation protection. There are many issues to be addressed: Can the radiation countermeasures currently used in low Earth orbit be adapted for deep space? Can materials of low atomic weight be integrated into the structure of deep space vehicles to shield the crew? In the event of a major solar particle event, could a safe haven shelter the crew adequately from high doses of radiation? Could Martian regolith be used as shielding material for subterranean habitats? Will shielding alone be sufficient to minimise exposure, or will biological and pharmacological countermeasures also be needed? Beyond this symposium, I will value the continued involvement of ICRP in space exploration. ICRP has recently established Task Group 115 to examine radiation effects on the health of astronaut crew and to recommend exposure limits. This work will be vital. Biological effects of radiation could not only impact the health, well-being, and performance of future explorers, but also the length and quality of their lives. While humanity has dreamed of travel to the red planet for decades, an actual mission is finally starting to feel like a possibility. How exciting! I thank ICRP for its ongoing work to protect radiation workers on Earth. In the future, we will depend on counsel from ICRP to protect extraterrestrial workers and to enable the exploration of deep space.",0,2020-12-01,Article,NA
85079655016,Multi-domain cognitive assessment of male mice shows space radiation is not harmful to high-level cognition and actually improves pattern separation,Whoolery C.W.,NA,Scientific Reports,10,1,NA,10.1038/s41598-020-59419-z,"Astronauts on interplanetary missions - such as to Mars - will be exposed to space radiation, a spectrum of highly-charged, fast-moving particles that includes 56Fe and 28Si. Earth-based preclinical studies show space radiation decreases rodent performance in low- and some high-level cognitive tasks. Given astronaut use of touchscreen platforms during training and space flight and given the ability of rodent touchscreen tasks to assess functional integrity of brain circuits and multiple cognitive domains in a non-aversive way, here we exposed 6-month-old C57BL/6J male mice to whole-body space radiation and subsequently assessed them on a touchscreen battery. Relative to Sham treatment, 56Fe irradiation did not overtly change performance on tasks of visual discrimination, reversal learning, rule-based, or object-spatial paired associates learning, suggesting preserved functional integrity of supporting brain circuits. Surprisingly, 56Fe irradiation improved performance on a dentate gyrus-reliant pattern separation task; irradiated mice learned faster and were more accurate than controls. Improved pattern separation performance did not appear to be touchscreen-, radiation particle-, or neurogenesis-dependent, as 56Fe and 28Si irradiation led to faster context discrimination in a non-touchscreen task and 56Fe decreased new dentate gyrus neurons relative to Sham. These data urge revisitation of the broadly-held view that space radiation is detrimental to cognition.",8,2020-12-01,Article,National Institutes of Health
85090288105,Aerospace Environmental Health: Considerations and Countermeasures to Sustain Crew Health Through Vastly Reduced Transit Time to/From Mars,Sobel A.,aerospace environmental health | bioinformatics | nuclear propulsion | precision medicine | radiation countermeasures,Frontiers in Public Health,8,NA,NA,10.3389/fpubh.2020.00327,"The concept of implementation of environmental health protection and sustainment in aerospace environments by definition implies a One Health systems approach. One Health indicates an inherently complex, contextually interrelated system with consideration of human, animal, plant, systems engineering, and environmental health, their interrelationships, and networks. One Health implies seamless integration of subsystem co-dependencies to achieve an outcome of overall health protection for the individual. One of the most challenging aspects of space travel involves prevention, mitigation and protection from radiation injuries. While avoidance altogether is the best approach, these authors will focus on minimized exposure through limiting time in the space radiation environment in the transit to Mars and back. Implementation of the pillars of time, distance and shielding comprise ALARA, “As Low as Reasonably Achievable” (www.cdc.gov/nceh/radiation/alara.html) and is stressed in this strategy. This general overview will briefly describe the critical components of space environmental health in anticipation of increasing duration and interaction of human, animal, and plant habitation of aerospace and extreme environments into the future. Of the many considerations that could be addressed, precision medicine, and bioinformatics are the most rapidly evolving. Complex interdependencies will emerge from macro- and micro-environmental ecosystems data analysis, not yet fully comprehended or understood in the context of space health. We will conclude this contribution with suggested new countermeasure strategies gleaned through big data analytics that may protect space crew through mitigation of radiation exposure in flight.",0,2020-08-19,Review,NA
